study_hours,attendance,previous_score,sleep_hours,stress_level,passed
6,78,21,5,10,0
3,79,91,9,9,0
10,53,30,9,2,0
7,71,83,9,5,1
4,90,96,5,6,0
6,100,100,4,7,1
9,77,91,5,5,1
2,72,40,8,9,0
6,62,37,8,1,0
10,54,83,5,7,0
10,72,57,9,10,0
7,64,51,4,7,0
4,56,30,5,4,0
3,72,64,5,9,0
7,86,52,5,5,0
7,94,60,6,4,1
2,41,27,8,7,0
5,53,30,9,4,0
4,92,70,7,3,0
1,79,60,9,9,0
7,79,36,7,8,0
5,90,95,6,1,1
1,78,65,5,7,0
4,90,51,6,9,0
0,45,98,6,8,0
9,45,99,4,8,0
5,42,73,8,6,0
8,46,39,7,4,0
0,90,52,5,8,0
10,47,93,7,3,1
10,81,59,9,9,0
9,91,51,7,2,1
2,54,21,9,2,0
6,86,52,8,7,0
3,68,96,9,10,1
8,72,49,7,4,0
2,91,52,7,10,0
4,69,96,9,8,1
2,78,45,6,9,0
6,66,41,8,7,0
4,75,85,4,5,1
8,68,57,5,8,0
6,77,65,7,4,1
1,96,34,5,2,0
3,72,63,4,6,0
8,100,68,5,9,0
1,76,94,4,1,1
9,66,80,9,10,0
8,94,86,6,7,1
9,72,25,7,10,0
4,43,28,4,9,0
1,61,25,5,10,0
3,41,92,7,9,0
6,49,51,6,10,0
7,44,60,9,3,0
2,98,95,7,5,1
0,49,27,4,8,0
3,72,91,6,8,0
1,93,69,5,4,0
7,77,81,6,1,1
3,52,81,6,1,1
1,70,26,8,4,0
5,86,94,6,6,1
5,75,99,6,8,1
9,84,23,7,6,0
3,63,25,5,9,0
5,91,77,7,9,0
1,95,41,7,2,0
9,54,45,4,10,0
1,68,22,7,1,0
9,47,60,8,2,1
3,44,79,8,5,1
7,68,33,4,4,0
6,86,94,9,4,1
8,43,31,5,9,0
7,51,31,5,8,0
4,84,32,7,6,0
1,41,44,7,1,0
4,66,64,9,2,0
7,70,38,7,6,0
9,90,74,5,2,0
8,90,64,6,10,0
8,75,27,8,5,0
0,75,72,6,5,0
8,65,74,6,6,1
6,82,51,5,6,0
8,66,70,6,6,0
7,44,63,9,2,1
0,59,89,4,10,0
7,50,37,7,3,0
7,49,41,4,6,0
10,79,56,8,8,1
2,77,75,7,1,1
0,45,78,6,1,0
7,47,22,8,2,0
2,62,47,7,6,0
2,86,93,9,9,1
0,65,54,9,4,0
10,85,80,9,3,1
4,82,73,9,8,0
9,51,82,6,10,0
6,65,98,4,9,1
9,52,26,7,5,0
8,79,95,6,9,1
6,57,68,9,2,0
8,64,50,4,3,0
7,72,77,8,7,0
1,86,80,8,7,0
0,79,43,8,6,0
6,99,39,9,6,0
6,82,56,8,2,1
7,51,23,5,10,0
4,83,39,7,6,0
2,75,79,7,4,1
7,87,43,9,3,1
5,43,69,5,2,0
10,44,68,6,1,1
2,95,70,6,5,0
0,76,55,8,2,0
2,47,85,4,2,0
4,81,98,6,7,0
2,88,53,4,8,0
0,67,55,7,10,0
4,70,25,4,8,0
9,97,58,7,4,0
6,48,61,5,1,0
6,93,77,5,7,0
10,90,31,9,1,0
8,68,22,9,4,0
9,53,37,8,8,0
9,79,59,6,2,1
2,80,40,8,6,0
6,61,34,7,6,0
0,50,45,8,9,0
3,62,27,4,5,0
3,40,61,7,10,0
4,85,63,9,4,0
6,76,33,5,5,1
6,60,97,9,10,1
10,65,21,6,5,0
3,85,56,7,8,0
6,75,88,7,10,0
